gen,best,mean,std
0,94.563558,16.36468,24.656727
1,94.918596,26.538989,20.430265
2,94.918596,32.222959,16.372814
3,94.918596,35.357048,13.171609
4,94.918596,38.898246,11.979838
5,94.918596,39.262219,10.311756
6,94.918596,40.379739,11.097244
7,94.918596,41.684399,11.739926
8,94.918596,41.603282,9.75863
9,94.918596,42.702109,11.088323
10,94.918596,42.258387,13.113689
11,94.918596,42.521247,10.99442
12,94.918596,42.900798,12.984551
13,94.918596,41.175849,11.344824
14,94.918596,41.447357,11.40298
15,94.918596,41.894802,12.496179
16,94.918596,41.709966,10.179957
17,94.918596,39.268589,10.657786
18,94.918596,38.817997,9.98069
19,94.918596,39.715734,7.793572
20,94.918596,39.897108,7.986548
21,94.918596,41.068407,7.434621
22,94.918596,40.437442,6.585976
23,94.918596,39.897249,6.536411
24,94.918596,39.896653,6.536774
25,94.918596,40.166089,6.809616
26,94.918596,39.447002,5.983342
27,94.918596,39.537673,5.911844
28,94.918596,40.617592,7.689302
29,94.918596,41.068156,9.011081
30,94.918596,40.616558,8.199419
31,94.918596,40.811611,8.925314
32,94.918596,40.438637,6.827311
33,94.918596,41.428943,8.173535
34,94.918596,40.708364,8.134457
35,94.918596,40.529409,7.7564
36,94.918596,40.795391,7.441221
37,94.918596,40.614282,7.58367
38,94.918596,40.612908,7.256435
39,94.918596,40.432908,7.613602
40,94.918596,40.527842,7.651522
41,94.918596,40.52794,7.43677
42,94.918596,40.435664,7.397287
43,94.918596,40.078252,6.760524
44,94.918596,39.717013,5.619454
45,94.943754,94.938614,0.022407
46,94.943754,94.938407,0.02169
47,94.943754,94.939435,0.019357
48,94.943754,94.940684,0.014637
49,94.943754,94.939863,0.018538
