gen,best,mean,std
0,94.900134,-1.625488,15.390753
1,94.900134,-0.895225,16.399249
2,94.900134,3.589284,20.251273
3,94.900134,7.827413,22.750531
4,94.900134,13.438512,25.340496
5,94.900134,17.468755,24.946024
6,94.900134,23.122601,24.113265
7,94.900134,25.226492,22.934016
8,94.900134,27.378581,23.715348
9,94.900134,32.709505,20.203465
10,94.900134,32.644353,19.850633
11,94.900134,33.979672,18.974963
12,94.900134,35.692036,17.350337
13,94.900134,36.754889,16.531315
14,94.900134,40.854742,13.05561
15,94.900134,41.933131,11.826304
16,94.900134,41.845533,12.793971
17,94.900134,42.103748,14.101642
18,94.900134,43.816127,13.850516
19,94.900134,46.043054,10.996878
20,94.900134,44.518632,12.268802
21,94.900134,44.883668,12.402298
22,94.900134,45.336842,11.947604
23,94.900134,44.268421,13.955398
24,94.900134,43.997339,13.873292
25,94.900134,45.700318,11.415923
26,94.900134,47.673557,8.999704
27,94.900134,46.669893,10.454939
28,94.900134,47.756102,9.010632
29,94.900134,47.030509,9.624742
30,94.900134,47.048736,10.686965
31,94.900134,46.600314,11.192736
32,94.900134,45.981898,12.306537
33,94.900134,46.137874,12.701798
34,94.900134,48.000207,7.551588
35,94.900134,47.918311,7.709579
36,94.900134,48.463547,6.308617
37,94.900134,47.309577,10.314013
38,94.900134,47.493369,10.474214
39,94.900134,47.853342,9.164406
40,94.900134,46.954575,10.706425
41,94.900134,47.574909,9.855676
42,94.900134,47.672598,12.002293
43,94.900134,47.221687,13.979487
44,94.900134,46.948466,14.452308
45,94.900134,44.967487,16.716401
46,94.900134,44.343452,16.791695
47,94.900134,46.054248,15.582365
48,94.900134,44.779075,15.478391
49,94.900134,44.954764,15.16352
