gen,best,mean,std
0,-5.752573,-5.75581,0.0263
1,48.174,-4.949623,5.554945
2,94.852506,2.893413,17.82308
3,94.852506,2.877481,16.686789
4,94.918596,4.913342,16.401486
5,94.918596,8.456548,18.548434
6,94.918596,11.329359,19.039357
7,94.918596,15.444822,19.864971
8,94.918596,21.885174,19.430942
9,94.918596,25.933925,19.49878
10,94.918596,30.042233,17.623317
11,94.918596,31.810597,15.824292
12,94.918596,33.765027,15.830242
13,94.918596,35.295153,17.650645
14,94.918596,35.296559,17.882346
15,94.918596,34.855738,16.260953
16,94.918596,34.317964,14.892844
17,94.918596,36.907604,13.341835
18,94.918596,37.606605,13.576156
19,94.918596,40.146667,13.864994
20,94.918596,39.513351,15.311744
21,94.918596,41.215106,13.321067
22,94.918596,39.843538,13.1025
23,94.918596,41.447764,13.475612
24,94.918596,43.055232,10.785767
25,94.918596,44.388876,10.470017
26,94.918596,45.094546,8.031633
27,94.918596,46.097369,9.302387
28,94.918596,46.25822,7.186123
29,94.918596,46.703244,7.116702
30,94.918596,48.043267,6.373343
31,94.918596,47.326896,6.817293
32,94.918596,46.619158,8.503007
33,94.918596,46.978309,7.975123
34,94.918596,45.899629,8.980299
35,94.918596,46.253476,7.822339
36,94.918596,46.611017,7.371064
37,94.918596,46.607251,8.217349
38,94.918596,47.591328,5.754117
39,94.918596,47.147882,6.559784
40,94.918596,46.441638,7.981688
41,94.918596,45.545777,8.614666
42,94.918596,45.810227,7.76109
43,94.918596,46.434478,6.651527
44,94.918596,46.972045,6.261193
45,94.918596,46.703855,6.764653
46,94.918596,46.520063,7.305069
47,94.918596,46.968825,6.14542
48,94.918596,47.599953,6.407032
49,94.918596,48.144344,6.307972
