gen,best,mean,std
0,89.350924,6.661411,26.074674
1,90.871679,11.009547,29.663541
2,91.619318,14.306512,31.263752
3,91.619318,24.621302,37.119021
4,91.619318,30.173177,38.469002
5,93.292124,36.298027,39.439649
6,93.292124,48.169468,39.851805
7,93.292124,50.910374,38.673318
8,93.292124,60.385495,36.896935
9,93.292124,64.78869,34.674869
10,93.292124,65.867723,34.159645
11,93.292124,68.713894,32.084574
12,93.292124,70.907774,30.089069
13,93.292124,73.844228,28.256491
14,93.292124,76.244281,26.179359
15,93.292124,77.809417,25.247406
16,93.292124,80.324802,21.604202
17,93.292124,80.637146,21.64597
18,93.292124,80.260732,22.213992
19,93.292124,82.152888,19.262047
20,93.292124,82.456534,18.20142
21,93.292124,83.192877,16.378723
22,93.292124,82.514714,17.322264
23,93.292124,83.452228,15.133835
24,93.292124,83.189938,15.759569
25,93.292124,83.435249,16.152949
26,93.292124,84.172684,13.855524
27,93.292124,83.739191,14.77838
28,93.292124,82.285336,17.519413
29,93.292124,81.361703,19.530075
30,93.292124,80.453269,20.713042
31,93.292124,81.472529,18.534425
32,93.292124,81.073833,19.268651
33,93.292124,81.391578,18.796115
34,93.292124,82.878454,15.967022
35,93.292124,83.737599,14.50052
36,93.292124,83.364421,15.550056
37,93.292124,82.582223,16.418297
38,93.292124,83.433523,15.019273
39,93.292124,82.477151,16.612707
40,93.292124,83.238266,15.173816
41,93.292124,84.415444,13.038445
42,93.292124,85.358688,10.95007
43,93.292124,85.03222,11.879677
44,93.292124,85.654987,10.058529
45,93.292124,85.458216,10.441604
46,93.292124,85.311277,10.628881
47,93.292124,83.897031,14.367477
48,93.292124,84.358608,13.564993
49,93.292124,85.064661,11.724956
50,93.292124,85.815216,8.9317
51,93.292124,85.137484,10.70974
52,93.292124,85.375665,10.281026
53,93.292124,84.778566,12.084666
54,93.292124,84.323664,13.671613
55,93.292124,85.298889,11.119784
56,93.292124,85.019899,11.7775
57,93.292124,84.740608,12.528114
58,93.292124,84.672172,12.248629
59,93.292124,83.920055,14.316903
60,93.292124,84.058866,13.498987
61,93.292124,84.042659,13.329202
62,93.292124,83.726717,14.247353
63,93.292124,81.541598,18.796559
64,93.292124,81.96086,17.89283
65,93.292124,83.051524,15.875989
66,93.292124,83.388504,14.519836
67,93.292124,83.899959,13.427139
68,93.292124,82.671567,15.742328
69,93.292124,83.996078,13.639358
70,93.292124,84.042146,13.145628
71,93.292124,85.002258,11.153579
72,93.292124,85.397622,10.404502
73,93.292124,85.31029,10.98123
74,93.292124,85.570837,10.622384
75,93.292124,84.561541,13.007747
76,93.292124,83.492385,14.688754
77,93.292124,83.776323,14.22331
78,93.292124,84.604698,12.870182
79,93.292124,83.984954,14.176049
80,93.292124,84.311512,13.4579
81,93.292124,83.98184,14.412918
82,93.292124,83.005765,15.835367
83,93.292124,83.290576,15.592076
84,93.292124,83.079434,16.014671
85,93.292124,84.283164,12.78916
86,93.292124,84.585874,12.589468
87,93.292124,84.933682,11.995691
88,93.292124,85.593761,10.139707
89,93.292124,85.807555,8.849734
90,93.292124,84.840243,10.135821
91,93.292124,84.35576,12.102268
92,93.292124,84.327211,12.577949
93,93.292124,83.726148,14.03875
94,93.292124,84.555965,12.638522
95,93.292124,84.273072,13.334201
96,93.292124,85.091882,11.669867
97,93.292124,84.816477,11.9746
98,93.292124,84.764569,12.15565
99,93.292124,85.486151,10.805161
100,93.292124,85.378619,10.964019
