gen,best,mean,std
0,48.174,1.453561,8.973847
1,48.174,1.971372,9.089412
2,94.852506,27.142619,21.177624
3,94.918596,32.365304,18.369317
4,94.918596,33.969671,16.996196
5,94.918596,35.680663,14.853396
6,94.918596,37.933153,10.914071
7,94.918596,38.850096,11.912473
8,94.918596,39.569202,10.922841
9,94.918596,40.919683,10.380802
10,94.918596,42.180259,9.937921
11,94.918596,41.460961,9.020723
12,94.918596,41.461346,8.83902
13,94.918596,41.372681,8.632922
14,94.918596,40.816194,6.630743
15,94.918596,41.552295,9.223678
16,94.918596,41.716387,7.077604
17,94.918596,41.355808,8.241981
18,94.918596,41.445588,8.267659
19,94.918596,41.896001,8.085875
20,94.918596,41.356194,7.941357
21,94.918596,41.985588,6.802414
22,94.918596,41.625588,6.575601
23,94.918596,41.625974,6.451101
24,94.918596,41.986194,6.559689
25,94.918596,41.896387,7.127366
26,94.918596,42.16629,7.079086
27,94.918596,41.896387,6.657277
28,94.918596,42.976387,7.102093
29,94.918596,43.246387,7.127084
30,94.918596,43.516387,7.254317
31,94.918596,43.426387,7.250613
32,94.918596,43.786387,7.032007
33,94.918596,44.235974,7.354992
34,94.918596,44.145781,7.577175
35,94.918596,44.341539,8.657112
36,94.918596,44.431346,9.106953
37,94.918596,43.606194,7.030244
38,94.918596,43.786194,6.915986
39,94.918596,43.246387,6.77756
40,94.918596,43.696194,6.915613
41,94.918596,44.866387,6.828404
42,94.918596,44.506387,6.757735
43,94.918596,44.776194,6.842405
44,94.918596,44.415781,6.886052
45,94.918596,44.415808,6.767379
46,94.918596,44.596001,6.747624
47,94.918596,44.866194,6.708895
48,94.918596,45.331827,8.443049
49,94.918596,44.88202,8.794666
