gen,best,mean,std
0,94.180019,21.161841,32.894477
1,94.180019,34.387708,34.858973
2,94.180019,44.901943,32.023659
3,94.180019,54.726521,26.795338
4,94.180019,60.594165,23.18896
5,94.180019,64.049806,18.273619
6,94.180019,66.615132,17.668959
7,94.180019,66.526478,18.883096
8,94.180019,69.178275,15.321046
9,94.180019,69.756972,16.100443
10,94.180019,71.43015,14.369888
11,94.180019,71.693789,14.528977
12,94.180019,71.95256,16.829485
13,94.180019,72.66761,16.871759
14,94.180019,75.915594,14.620803
15,94.180019,72.670518,19.161001
16,94.180019,74.657436,18.061115
17,94.180019,75.668444,15.443363
18,94.180019,77.023031,13.617303
19,94.180019,80.106308,11.202215
20,94.180019,82.105587,10.299667
21,94.180019,82.920785,9.826636
22,94.180019,83.812007,10.690977
23,94.180019,83.683251,10.836163
24,94.180019,84.35332,9.507061
25,94.180019,84.901542,11.206356
26,94.180019,83.246858,12.949485
27,94.180019,83.99129,11.962713
28,94.180019,86.339385,7.109232
29,94.180019,85.78806,6.356352
30,94.180019,86.061678,6.406849
31,94.180019,85.744157,6.750464
32,94.180019,85.928815,6.438353
33,94.180019,85.476224,6.947503
34,94.180019,85.750512,6.994933
35,94.180019,84.257756,8.449297
36,94.180019,83.223247,10.460359
37,94.639718,84.820323,7.259387
38,94.639718,86.027554,5.545418
39,94.639718,85.69102,6.352732
40,94.639718,85.46472,9.65552
41,94.639718,85.232728,9.745741
42,94.639718,85.117817,10.181873
43,94.639718,83.822766,13.6277
44,94.639718,84.237759,14.133934
45,94.639718,84.323522,11.315533
46,94.639718,86.610142,5.588573
47,94.639718,86.353728,6.238235
48,94.639718,84.956732,13.218707
49,94.639718,85.507326,10.288929
