gen,best,mean,std
0,90.866695,17.978492,34.536618
1,90.866695,29.499085,38.298997
2,91.303266,32.357295,34.631885
3,94.089365,49.103418,33.479825
4,94.089365,57.809998,29.107244
5,94.089365,61.288137,26.228112
6,94.089365,61.411909,27.779062
7,94.089365,66.729235,22.572461
8,94.089365,70.740301,16.793663
9,94.089365,72.522632,14.27662
10,94.089365,71.801248,15.245395
11,94.089365,71.966926,14.044546
12,94.089365,70.583406,17.489912
13,94.089365,73.213438,11.62663
14,94.089365,74.177364,8.574369
15,94.089365,75.159709,3.160922
16,94.089365,75.339584,2.602732
17,94.089365,75.341075,2.602755
18,94.089365,75.532031,3.20196
19,94.089365,75.717791,2.624521
20,94.089365,74.734986,8.046255
21,94.089365,75.52795,1.865571
22,94.089365,74.752113,8.457947
23,94.089365,73.780309,11.292408
24,94.089365,73.778887,11.292221
25,94.089365,72.997675,13.615431
26,94.089365,74.563135,8.231876
27,94.089365,75.532799,3.203396
28,94.089365,74.936707,8.67385
29,94.089365,75.027903,8.534824
30,94.089365,73.50932,11.501676
31,94.089365,74.655636,8.089562
32,94.089365,75.71592,2.624831
33,94.089365,74.147951,11.348036
34,94.089365,74.745258,8.046475
35,94.089365,74.7455,8.046492
36,94.089365,75.520063,1.868621
37,94.089365,74.732646,8.04609
38,94.089365,74.374508,9.846081
39,94.089365,75.711202,2.625586
40,94.089365,75.528959,1.865415
41,94.089365,75.530194,1.86528
42,94.089365,75.530913,1.8652
43,94.089365,75.715533,2.624898
44,94.089365,75.530194,1.86528
45,94.089365,74.987873,5.713566
46,94.089365,74.746254,8.046547
47,94.089365,74.746254,8.046547
48,94.089365,74.743503,8.04636
49,94.089365,74.743326,8.046346
